query	target	complex_qTMscore	complex_tTMscore	tstart	tend	RBP-class
RBPPD058	LIT_073_KL23KL54KL58_PROTEIN_99	1.0	0.85	166	1092	TC12-like tail fiber in mydovirus
RBPPD058	LIT_074_KL24KL54KL58_PROTEIN_64	0.96	0.81	166	1092	TC12-like tail fiber in mydovirus
RBPPD058	REC_020_KL23_PROTEIN_50	0.96	0.81	166	1092	TC12-like tail fiber in mydovirus
RBPPD060	LIT_075_KL18_PROTEIN_78	1.0	0.27	182	397	TC10-like tail fiber in mydovirus - variant 2
RBPPD061	LIT_075_KL18_PROTEIN_83	1.0	0.27	1	68	xylanase containing tail fiber
RBPPD061	LIT_076_KL45KL71_PROTEIN_119	0.99	0.27	1	68	xylanase containing tail fiber
RBPPD062	LIT_075_KL18_PROTEIN_83	0.99	0.72	70	250	xylanase containing tail fiber
RBPPD062	LIT_076_KL45KL71_PROTEIN_119	0.99	0.72	70	250	xylanase containing tail fiber
RBPPD063	LIT_076_KL45KL71_PROTEIN_115	1.0	0.35	741	1131	TC10-like tail fiber in mydovirus - variant 3
RBPPD064	LIT_076_KL45KL71_PROTEIN_115	1.0	0.24	177	453	TC10-like tail fiber in mydovirus - variant 3
RBPPD065	LIT_076_KL45KL71_PROTEIN_115	1.0	0.12	454	594	TC10-like tail fiber in mydovirus - variant 3
RBPPD066	LIT_077_KL9_PROTEIN_74	1.0	0.17	514	617	TC12-like tail fiber in podovirus
RBPPD067	LIT_077_KL9_PROTEIN_74	1.0	0.83	1	512	TC12-like tail fiber in podovirus
RBPPD068	LIT_093_Kn_PROTEIN_20	1.0	0.24	519	681	TC14-like tail fiber in sugarlandvirus - variant 1
RBPPD068	LIT_049_KL3_PROTEIN_111	0.94	0.23	518	680	TC14-like tail fiber in sugarlandvirus - variant 1
RBPPD068	LIT_094_Kn_PROTEIN_20	0.93	0.22	518	679	TC14-like tail fiber in sugarlandvirus - variant 1
RBPPD069	LIT_093_Kn_PROTEIN_20	0.99	0.16	407	518	TC14-like tail fiber in sugarlandvirus - variant 1
RBPPD069	LIT_049_KL3_PROTEIN_111	0.92	0.15	409	516	TC14-like tail fiber in sugarlandvirus - variant 1
RBPPD069	LIT_094_Kn_PROTEIN_20	0.84	0.14	409	515	TC14-like tail fiber in sugarlandvirus - variant 1
RBPPD071	LIT_093_Kn_PROTEIN_20	1.0	0.11	1	76	TC14-like tail fiber in sugarlandvirus - variant 1
RBPPD072	LIT_093_Kn_PROTEIN_20	0.99	0.48	78	404	TC14-like tail fiber in sugarlandvirus - variant 1
RBPPD073	LIT_096_KL5_PROTEIN_193	1.0	0.66	1	290	TC14-like long tail fiber in taipeivirus
RBPPD073	REC_043_KN2_PROTEIN_130	0.98	0.64	1	290	TC14-like long tail fiber in taipeivirus
RBPPD073	REC_017_KL20KL27KL7_PROTEIN_149	0.95	0.63	1	289	TC14-like long tail fiber in taipeivirus
RBPPD074	LIT_096_KL5_PROTEIN_193	0.99	0.34	293	441	TC14-like long tail fiber in taipeivirus
RBPPD074	REC_017_KL20KL27KL7_PROTEIN_149	0.99	0.34	291	440	TC14-like long tail fiber in taipeivirus
RBPPD074	REC_043_KN2_PROTEIN_130	0.98	0.33	293	441	TC14-like long tail fiber in taipeivirus
RBPPD075	LIT_096_KL5_PROTEIN_196	1.0	0.13	1	167	tailspike depolymerase with fiber-like elements
RBPPD075	REC_043_KN2_PROTEIN_133	0.71	0.09	1	167	tailspike depolymerase with fiber-like elements
RBPPD076	LIT_096_KL5_PROTEIN_196	1.0	0.21	1018	1294	tailspike depolymerase with fiber-like elements
RBPPD076	REC_017_KL20KL27KL7_PROTEIN_151	0.99	0.21	1018	1294	tailspike depolymerase with fiber-like elements
RBPPD076	REC_028_KL51_PROTEIN_293	0.78	0.18	997	1231	tailspike depolymerase with fiber-like elements
RBPPD076	LIT_090_KL27_PROTEIN_48	0.75	0.17	1020	1236	tailspike depolymerase with fiber-like elements
RBPPD076	LIT_026_KL102KL149_PROTEIN_33	0.73	0.16	1006	1238	tailspike depolymerase with fiber-like elements
RBPPD077	LIT_096_KL5_PROTEIN_196	1.0	0.66	168	1016	tailspike depolymerase with fiber-like elements
RBPPD077	REC_017_KL20KL27KL7_PROTEIN_151	1.0	0.65	168	1016	tailspike depolymerase with fiber-like elements
RBPPD077	LIT_090_KL27_PROTEIN_48	0.96	0.66	178	1018	tailspike depolymerase with fiber-like elements
RBPPD077	REC_028_KL51_PROTEIN_293	0.95	0.65	177	995	tailspike depolymerase with fiber-like elements
RBPPD077	LIT_106_KL38_PROTEIN_24	0.94	0.68	181	1024	tailspike depolymerase with fiber-like elements
RBPPD077	REC_028_KL51_PROTEIN_298	0.91	0.69	92	905	tailspike depolymerase with fiber-like elements
RBPPD077	REC_043_KN2_PROTEIN_133	0.91	0.62	169	1001	tailspike depolymerase with fiber-like elements
RBPPD077	LIT_046_KL16_PROTEIN_228	0.9	0.64	99	930	tailspike depolymerase with fiber-like elements
RBPPD077	LIT_028_KL102KL149_PROTEIN_53	0.89	0.61	182	995	tailspike depolymerase with fiber-like elements
RBPPD077	LIT_044_KN2_PROTEIN_8	0.89	0.6	196	1010	tailspike depolymerase with fiber-like elements
RBPPD077	LIT_026_KL102KL149_PROTEIN_33	0.88	0.6	182	996	tailspike depolymerase with fiber-like elements
RBPPD078	LIT_097_Kn_PROTEIN_46	1.0	0.34	378	575	TC16 tail fiber
RBPPD079	LIT_097_Kn_PROTEIN_46	1.0	0.65	1	376	TC16 tail fiber
RBPPD080	LIT_115_Kn_PROTEIN_25	1.0	0.55	443	973	L-shaped tail fiber-like
RBPPD080	LIT_120_KL28KL69_PROTEIN_24	1.0	0.54	443	973	L-shaped tail fiber-like
RBPPD080	LIT_103_KL28KL69_PROTEIN_24	0.91	0.54	345	894	L-shaped tail fiber-like
RBPPD080	LIT_117_Kn_PROTEIN_25	0.91	0.54	344	892	L-shaped tail fiber-like
RBPPD080	LIT_119_Kn_PROTEIN_25	0.91	0.54	345	894	L-shaped tail fiber-like
RBPPD080	LIT_116_KL31KL37_PROTEIN_25	0.89	0.53	344	892	L-shaped tail fiber-like
RBPPD080	LIT_108_KL11KL28KL33_PROTEIN_25	0.83	0.49	344	868	L-shaped tail fiber-like
RBPPD081	LIT_115_Kn_PROTEIN_25	1.0	0.16	1	151	L-shaped tail fiber-like
RBPPD082	LIT_115_Kn_PROTEIN_25	0.99	0.3	153	441	L-shaped tail fiber-like
RBPPD082	LIT_120_KL28KL69_PROTEIN_24	0.71	0.21	167	441	L-shaped tail fiber-like
RBPPD083	LIT_121_KL29KL62KL79_PROTEIN_25	1.0	0.34	419	634	TC15-like tail fiber in siphovirus - variant 2
RBPPD083	LIT_122_Kn_PROTEIN_25	0.91	0.31	418	632	TC15-like tail fiber in siphovirus - variant 2
RBPPD084	LIT_121_KL29KL62KL79_PROTEIN_25	0.99	0.25	261	418	TC15-like tail fiber in siphovirus - variant 2
RBPPD084	LIT_122_Kn_PROTEIN_25	0.9	0.23	258	416	TC15-like tail fiber in siphovirus - variant 2
RBPPD084	LIT_108_KL11KL28KL33_PROTEIN_25	0.84	0.15	191	345	L-shaped tail fiber-like
RBPPD084	LIT_116_KL31KL37_PROTEIN_25	0.84	0.15	191	344	L-shaped tail fiber-like
RBPPD084	LIT_120_KL28KL69_PROTEIN_24	0.83	0.14	292	443	L-shaped tail fiber-like
RBPPD084	LIT_103_KL28KL69_PROTEIN_24	0.81	0.14	194	345	L-shaped tail fiber-like
RBPPD084	LIT_115_Kn_PROTEIN_25	0.81	0.13	298	443	L-shaped tail fiber-like
RBPPD084	LIT_119_Kn_PROTEIN_25	0.81	0.14	195	345	L-shaped tail fiber-like
RBPPD084	LIT_054_KL14_PROTEIN_175	0.8	0.1	241	394	T4 gp37-like
RBPPD084	LIT_055_KL14_PROTEIN_41	0.8	0.1	241	388	T4 gp37-like
RBPPD084	LIT_056_KL38_PROTEIN_29	0.8	0.1	241	388	T4 gp37-like
RBPPD084	LIT_117_Kn_PROTEIN_25	0.8	0.14	195	344	L-shaped tail fiber-like
RBPPD084	LIT_043_KL47_PROTEIN_46	0.79	0.1	242	391	T4 gp37-like
RBPPD084	LIT_123_KL43KL50KL69_PROTEIN_28	0.79	0.1	302	450	L-shaped tail fiber-like
RBPPD084	LIT_092_KL39KL41_PROTEIN_219	0.78	0.1	241	388	T4 gp37-like
RBPPD084	LIT_051_KL3_PROTEIN_115	0.77	0.15	224	365	TC14-like tail fiber in sugarlandvirus - variant 2
RBPPD084	LIT_053_KL3_PROTEIN_115	0.77	0.15	224	366	TC14-like tail fiber in sugarlandvirus - variant 2
RBPPD084	LIT_094_Kn_PROTEIN_20	0.77	0.18	103	260	TC14-like tail fiber in sugarlandvirus - variant 1
RBPPD084	LIT_068_KL15_PROTEIN_53	0.76	0.18	387	544	RaK2 gp526-like
RBPPD084	LIT_050_KL3_PROTEIN_115	0.75	0.14	230	366	TC14-like tail fiber in sugarlandvirus - variant 2
RBPPD084	REC_043_KN2_PROTEIN_135	0.72	0.2	268	424	RaK2 gp526-like
RBPPD084	LIT_057_KL28_PROTEIN_37	0.71	0.08	250	404	T4 gp37-like
RBPPD085	LIT_121_KL29KL62KL79_PROTEIN_25	1.0	0.17	1	105	TC15-like tail fiber in siphovirus - variant 2
RBPPD085	LIT_120_KL28KL69_PROTEIN_24	0.91	0.1	1	102	L-shaped tail fiber-like
RBPPD085	LIT_122_Kn_PROTEIN_25	0.86	0.14	1	105	TC15-like tail fiber in siphovirus - variant 2
RBPPD085	LIT_105_KL63_PROTEIN_22	0.85	0.1	1	99	tailspike depolymerase
RBPPD085	LIT_108_KL11KL28KL33_PROTEIN_25	0.83	0.1	1	102	L-shaped tail fiber-like
RBPPD085	LIT_035_KL24_PROTEIN_2	0.81	0.11	1	102	tailspike depolymerase
RBPPD085	LIT_118_KL14_PROTEIN_25	0.81	0.09	1	102	tailspike depolymerase
RBPPD085	CONT_012_KL53_PROTEIN_48	0.78	0.1	1	102	tailspike depolymerase
RBPPD085	CONT_009_KL53_PROTEIN_3	0.75	0.09	1	102	tailspike depolymerase
RBPPD085	CONT_011_KL53_PROTEIN_67	0.75	0.09	1	102	tailspike depolymerase
RBPPD085	CONT_010_KL53_PROTEIN_22	0.73	0.09	1	102	tailspike depolymerase
RBPPD085	CONT_013_KL53_PROTEIN_1	0.73	0.09	1	102	tailspike depolymerase
RBPPD085	REC_014_KL2_PROTEIN_2	0.71	0.08	1	99	tailspike depolymerase
RBPPD085	LIT_107_KL64_PROTEIN_24	0.7	0.08	1	102	tailspike depolymerase
RBPPD086	LIT_057_KL28_PROTEIN_37	1.0	0.11	419	575	T4 gp37-like
RBPPD086	LIT_058_KL28_PROTEIN_39	0.98	0.1	418	572	T4 gp37-like
RBPPD086	LIT_072_Kn_PROTEIN_191	0.9	0.1	418	572	T4 gp37-like
RBPPD086	LIT_043_KL47_PROTEIN_46	0.87	0.11	408	550	T4 gp37-like
RBPPD086	LIT_054_KL14_PROTEIN_175	0.87	0.1	405	547	T4 gp37-like
RBPPD086	LIT_055_KL14_PROTEIN_41	0.87	0.1	405	547	T4 gp37-like
RBPPD086	LIT_056_KL38_PROTEIN_29	0.87	0.1	405	547	T4 gp37-like
RBPPD086	LIT_123_KL43KL50KL69_PROTEIN_28	0.75	0.09	459	583	L-shaped tail fiber-like
RBPPD086	LIT_122_Kn_PROTEIN_25	0.74	0.18	100	227	TC15-like tail fiber in siphovirus - variant 2
RBPPD086	LIT_121_KL29KL62KL79_PROTEIN_25	0.7	0.17	100	229	TC15-like tail fiber in siphovirus - variant 2
RBPPD087	LIT_125_Kn_PROTEIN_24	1.0	0.15	1	63	TC7-like tail fiber
RBPPD087	LIT_124_Kn_PROTEIN_24	0.98	0.15	1	63	TC7-like tail fiber
RBPPD087	LIT_127_Kn_PROTEIN_23	0.98	0.15	1	63	TC7-like tail fiber
RBPPD088	LIT_125_Kn_PROTEIN_24	1.0	0.26	319	430	TC7-like tail fiber
RBPPD088	LIT_123_KL43KL50KL69_PROTEIN_28	0.96	0.08	1203	1314	L-shaped tail fiber-like
RBPPD088	LIT_045_KL3_PROTEIN_88	0.89	0.18	402	524	TC15-like tail fiber in siphovirus - variant 1
RBPPD088	LIT_076_KL45KL71_PROTEIN_114	0.75	0.3	153	277	TC12/TC17-like tail fiber in mydovirus
RBPPD088	LIT_044_KN2_PROTEIN_8	0.73	0.07	1113	1241	tailspike depolymerase with fiber-like elements
RBPPD088	LIT_055_KL14_PROTEIN_41	0.73	0.06	1227	1325	T4 gp37-like
RBPPD088	LIT_073_KL23KL54KL58_PROTEIN_97	0.72	0.29	151	275	TC12/TC17-like tail fiber in mydovirus
RBPPD088	LIT_075_KL18_PROTEIN_76	0.72	0.29	154	278	TC12/TC17-like tail fiber in mydovirus
RBPPD088	LIT_072_Kn_PROTEIN_191	0.71	0.05	1377	1477	T4 gp37-like
RBPPD088	LIT_074_KL24KL54KL58_PROTEIN_62	0.71	0.29	151	275	TC12/TC17-like tail fiber in mydovirus
RBPPD088	REC_020_KL23_PROTEIN_48	0.71	0.29	151	275	TC12/TC17-like tail fiber in mydovirus
RBPPD088	REC_028_KL51_PROTEIN_293	0.7	0.06	1103	1233	tailspike depolymerase with fiber-like elements
RBPPD089	LIT_125_Kn_PROTEIN_24	1.0	0.59	64	318	TC7-like tail fiber
RBPPD090	REC_001_Kn_PROTEIN_101	1.0	0.39	362	595	RaK2 gp98-like
RBPPD090	REC_028_KL51_PROTEIN_405	0.99	0.39	362	595	RaK2 gp98-like
RBPPD090	REC_029_KL54_PROTEIN_99	0.99	0.39	362	595	RaK2 gp98-like
RBPPD091	REC_001_Kn_PROTEIN_101	1.0	0.6	1	360	RaK2 gp98-like
RBPPD091	REC_029_KL54_PROTEIN_99	0.71	0.43	1	361	RaK2 gp98-like
RBPPD092	REC_001_Kn_PROTEIN_559	1.0	0.47	634	1193	tailspike depolymerase
RBPPD093	REC_001_Kn_PROTEIN_559	1.0	0.33	1	390	tailspike depolymerase
RBPPD094	REC_001_Kn_PROTEIN_559	1.0	0.14	390	556	tailspike depolymerase
RBPPD095	REC_001_Kn_PROTEIN_559	0.99	0.06	558	633	tailspike depolymerase
RBPPD096	REC_001_Kn_PROTEIN_565	1.0	0.2	301	445	RaK2 gp534-like
RBPPD096	REC_028_KL51_PROTEIN_304	0.91	0.19	219	362	RaK2 gp534-like
RBPPD096	REC_029_KL54_PROTEIN_562	0.82	0.17	213	356	RaK2 gp534-like
RBPPD097	REC_001_Kn_PROTEIN_565	1.0	0.23	553	719	RaK2 gp534-like
RBPPD097	REC_029_KL54_PROTEIN_562	1.0	0.24	522	688	RaK2 gp534-like
RBPPD098	REC_001_Kn_PROTEIN_565	1.0	0.15	446	552	RaK2 gp534-like
RBPPD098	REC_028_KL51_PROTEIN_304	0.82	0.13	425	527	RaK2 gp534-like
RBPPD098	REC_029_KL54_PROTEIN_562	0.82	0.13	415	521	RaK2 gp534-like
RBPPD099	REC_001_Kn_PROTEIN_565	1.0	0.13	1	95	RaK2 gp534-like
RBPPD099	REC_029_KL54_PROTEIN_562	0.86	0.12	1	95	RaK2 gp534-like
RBPPD099	REC_028_KL51_PROTEIN_304	0.83	0.11	1	95	RaK2 gp534-like
RBPPD099	REC_028_KL51_PROTEIN_303	0.72	0.08	1	96	tailspike depolymerase with fiber-like elements
RBPPD099	REC_001_Kn_PROTEIN_563	0.71	0.07	1	78	tailspike depolymerase
RBPPD099	REC_029_KL54_PROTEIN_559	0.71	0.08	1	79	tailspike depolymerase
RBPPD099	REC_028_KL51_PROTEIN_302	0.7	0.08	1	78	tailspike depolymerase
RBPPD099	REC_029_KL54_PROTEIN_561	0.7	0.09	1	85	tailspike depolymerase with fiber-like elements
RBPPD100	REC_001_Kn_PROTEIN_565	1.0	0.12	96	183	RaK2 gp534-like
RBPPD100	LIT_127_Kn_PROTEIN_23	0.7	0.15	167	229	TC7-like tail fiber
RBPPD101	REC_001_Kn_PROTEIN_565	0.99	0.16	184	299	RaK2 gp534-like
RBPPD101	REC_029_KL54_PROTEIN_562	0.93	0.16	96	211	RaK2 gp534-like
RBPPD101	REC_028_KL51_PROTEIN_304	0.73	0.12	96	217	RaK2 gp534-like
RBPPD101	LIT_108_KL11KL28KL33_PROTEIN_25	0.7	0.09	355	442	L-shaped tail fiber-like
RBPPD101	LIT_116_KL31KL37_PROTEIN_25	0.7	0.09	355	442	L-shaped tail fiber-like
RBPPD101	LIT_117_Kn_PROTEIN_25	0.7	0.09	355	442	L-shaped tail fiber-like
RBPPD102	REC_001_Kn_PROTEIN_65	1.0	0.38	230	371	TC10-like tail fiber in alcyoneusvirus
RBPPD102	REC_028_KL51_PROTEIN_369	0.99	0.38	230	371	TC10-like tail fiber in alcyoneusvirus
RBPPD102	REC_029_KL54_PROTEIN_63	0.99	0.38	230	371	TC10-like tail fiber in alcyoneusvirus
RBPPD103	REC_001_Kn_PROTEIN_65	1.0	0.61	1	228	TC10-like tail fiber in alcyoneusvirus
RBPPD103	REC_028_KL51_PROTEIN_369	0.82	0.5	1	228	TC10-like tail fiber in alcyoneusvirus
RBPPD104	CONT_016_KL54_PROTEIN_42	1.0	0.35	327	502	HRP29 tail-like variant 1
RBPPD104	REC_007_KL13KL2_PROTEIN_46	1.0	0.29	427	602	HRP29 tail-like variant 1
RBPPD104	LIT_031_KL47_PROTEIN_46	0.99	0.33	356	530	HRP29 tail-like variant 1
RBPPD104	REC_005_KL1_PROTEIN_48	0.99	0.32	367	541	HRP29 tail-like variant 1
RBPPD104	REC_015_KL2_PROTEIN_46	0.99	0.32	367	541	HRP29 tail-like variant 1
RBPPD105	REC_007_KL13KL2_PROTEIN_46	1.0	0.71	1	426	HRP29 tail-like variant 1
RBPPD106	LIT_019_KL139_PROTEIN_27	1.0	0.29	1	82	pam3 fiber-like
RBPPD106	REC_010_KL2_PROTEIN_69	1.0	0.28	1	82	pam3 fiber-like
RBPPD107	REC_010_KL2_PROTEIN_69	1.0	0.72	83	297	pam3 fiber-like
RBPPD107	LIT_019_KL139_PROTEIN_27	0.84	0.64	83	285	pam3 fiber-like
