query	qLen	target	tLen	qCov	tCov	qstart	qend	tstart	tend	fid_orig	xid	hid	tid	fid	xname	hname	tname	fname	PHROGS1_function	PHROGS2_function	RBP-cluster	RBP-class	TF-class	evalue	bits	domain	Genome_name	Morphology
LIT_021_KL22KL37_PROTEIN_90	547	10061	208	0.45	0.96	99	345	1	199	2007.5.1.31	2007	2007.5	2007.5.1	2007.5.1.31	Flavodoxin-like	NO_H_NAME	SGNH hydrolase	Lipase_GDSL_2	***  tail fiber protein	***  tail spike protein	RBP36	GDSL-like lipase containing tailspike		4.574e-09	254	2007.5.1:SGNH hydrolase	LIT_021_KL22KL37	Myovirus
LIT_021_KL22KL37_PROTEIN_90	547	2512673	126	0.24	0.89	416	546	4	115	11.1.1.2699	11	11.1	11.1.1	11.1.1.2699	Immunoglobulin-like beta-sandwich	Immunoglobulin-related	Immunoglobulin/Fibronectin type III/E set domains/PapD-like	UNK_F_TYPE	***  tail fiber protein	***  tail spike protein	RBP36	GDSL-like lipase containing tailspike		0.0008485	107	11.1.1:Immunoglobulin/Fibronectin type III/E set domains/PapD-like	LIT_021_KL22KL37	Myovirus
LIT_022_KL140_PROTEIN_10	854	2409669	376	0.48	0.97	257	667	1	366	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP26	tailspike depolymerase		1.142e-10	370	207.2.1:Pectin lyase-like	LIT_022_KL140	Podovirus
LIT_022_KL140_PROTEIN_10	854	1209559	157	0.21	0.94	676	852	11	157	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  EPS depolymerase	RBP26	tailspike depolymerase		6.156e-05	144	10.1.2:Galactose-binding domain-like	LIT_022_KL140	Podovirus
LIT_023_KL140_PROTEIN_23	854	2409669	376	0.48	0.97	257	667	1	366	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP26	tailspike depolymerase		3.88e-11	393	207.2.1:Pectin lyase-like	LIT_023_KL140	Podovirus
LIT_023_KL140_PROTEIN_23	854	2409668	163	0.21	0.85	676	854	25	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  EPS depolymerase	RBP26	tailspike depolymerase		7.151e-05	145	10.1.2:Galactose-binding domain-like	LIT_023_KL140	Podovirus
LIT_024_KL25_PROTEIN_97	657	198885	374	0.53	0.99	169	518	2	373	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  tail spike protein	RBP8	tailspike depolymerase		8.732e-07	185	207.2.1:Pectin lyase-like	LIT_024_KL25	Siphovirus
LIT_025_KL25_PROTEIN_36	633	198885	374	0.55	1.0	150	495	2	374	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  tail spike protein	RBP8	tailspike depolymerase		3.704e-07	188	207.2.1:Pectin lyase-like	LIT_025_KL25	Siphovirus
LIT_027_KL63_PROTEIN_55	799	1144443	458	0.55	0.9	177	612	2	414	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail fiber protein	***  tail spike protein	RBP38	tailspike depolymerase		0.000562	83	207.2.1:Pectin lyase-like	LIT_027_KL63	Siphovirus
LIT_029_KL14_PROTEIN_56	902	2491363	452	0.73	0.92	152	811	20	436	207.2.1.111	207	207.2	207.2.1	207.2.1.111	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3,Glyco_hydro_120	***  tail fiber protein	***  tail spike protein	RBP19	tailspike depolymerase		1.928e-05	98	207.2.1:Pectin lyase-like	LIT_029_KL14	Siphovirus
LIT_031_KL47_PROTEIN_54	584	2485645	88	0.12	0.77	12	82	20	87	3856.1.2.1	3856	3856.1	3856.1.2	3856.1.2.1	NO_X_NAME	NO_H_NAME	tailspike protein Orf211 N-terminal domain	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP27	tailspike depolymerase		0.0008035	204	3856.1.2:tailspike protein Orf211 N-terminal domain	LIT_031_KL47	Podovirus
LIT_032_KL1_PROTEIN_52	648	2491358	451	0.85	0.98	9	558	2	443	207.2.1.118	207	207.2	207.2.1	207.2.1.118	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  tail spike protein	RBP14	tailspike depolymerase		1.011e-05	145	207.2.1:Pectin lyase-like	LIT_032_KL1	Podovirus
LIT_033_KL22_PROTEIN_48	744	198885	374	0.46	0.98	283	627	2	367	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP42	tailspike depolymerase		2.611e-06	182	207.2.1:Pectin lyase-like	LIT_033_KL22	Podovirus
LIT_034_KL22_PROTEIN_51	744	198885	374	0.47	0.99	284	632	3	374	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP42	tailspike depolymerase		8.177e-06	178	207.2.1:Pectin lyase-like	LIT_034_KL22	Podovirus
LIT_035_KL24_PROTEIN_2	762	2485645	88	0.13	0.98	165	261	3	88	3856.1.2.1	3856	3856.1	3856.1.2	3856.1.2.1	NO_X_NAME	NO_H_NAME	tailspike protein Orf211 N-terminal domain	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP27	tailspike depolymerase		0.0001971	206	3856.1.2:tailspike protein Orf211 N-terminal domain	LIT_035_KL24	Siphovirus
LIT_035_KL24_PROTEIN_4	547	2330595	98	0.18	0.93	12	109	4	94	11.1.1.370	11	11.1	11.1.1	11.1.1.370	Immunoglobulin-like beta-sandwich	Immunoglobulin-related	Immunoglobulin/Fibronectin type III/E set domains/PapD-like	fn3_10	***  tail fiber protein	***  tail protein and host specificity	RBP43	TC5-like tail fiber		2.523e-05	250	11.1.1:Immunoglobulin/Fibronectin type III/E set domains/PapD-like	LIT_035_KL24	Siphovirus
LIT_036_KL106_PROTEIN_38	791	2210	344	0.67	1.0	45	577	2	344	5.1.4.312	5	5.1	5.1.4	5.1.4.312	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_8	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	0.0001537	130	5.1.4:7-bladed	LIT_036_KL106	Podovirus
LIT_036_KL106_PROTEIN_44	778	2491350	350	0.43	0.99	292	626	1	348	207.2.1.116	207	207.2	207.2.1	207.2.1.116	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  tail spike protein	RBP44	tailspike depolymerase		3.192e-06	235	207.2.1:Pectin lyase-like	LIT_036_KL106	Podovirus
LIT_036_KL106_PROTEIN_44	778	185943	120	0.16	0.88	652	778	7	112	3386.1.1.4	3386	3386.1	3386.1.1	3386.1.1.4	gp9 C-terminal domain-like	NO_H_NAME	gp9 C-terminal domain-related	T4_gp9_10_C	***  tail fiber protein	***  tail spike protein	RBP44	tailspike depolymerase		0.0002267	149	3386.1.1:gp9 C-terminal domain-related	LIT_036_KL106	Podovirus
LIT_036_KL106_PROTEIN_45	536	2409668	163	0.34	0.94	355	536	11	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	*    tail spike protein	*    tail fiber protein	RBP18	tailspike depolymerase		5.925e-06	223	10.1.2:Galactose-binding domain-like	LIT_036_KL106	Podovirus
LIT_037_KL106_PROTEIN_37	824	135790	333	0.31	0.74	338	596	10	254	5.1.4.44	5	5.1	5.1.4	5.1.4.44	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_6	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	2.743e-05	138	5.1.4:7-bladed	LIT_037_KL106	Podovirus
LIT_037_KL106_PROTEIN_42	778	2491350	350	0.44	1.0	292	631	1	350	207.2.1.116	207	207.2	207.2.1	207.2.1.116	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  tail spike protein	RBP44	tailspike depolymerase		3.353e-05	202	207.2.1:Pectin lyase-like	LIT_037_KL106	Podovirus
LIT_037_KL106_PROTEIN_42	778	185943	120	0.16	0.89	651	778	6	112	3386.1.1.4	3386	3386.1	3386.1.1	3386.1.1.4	gp9 C-terminal domain-like	NO_H_NAME	gp9 C-terminal domain-related	T4_gp9_10_C	***  tail fiber protein	***  tail spike protein	RBP44	tailspike depolymerase		0.0002126	158	3386.1.1:gp9 C-terminal domain-related	LIT_037_KL106	Podovirus
LIT_037_KL106_PROTEIN_43	536	2409668	163	0.36	1.0	342	536	1	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	*    tail spike protein	*    tail fiber protein	RBP18	tailspike depolymerase		4.014e-06	210	10.1.2:Galactose-binding domain-like	LIT_037_KL106	Podovirus
LIT_037_KL106_PROTEIN_43	536	2491360	416	0.57	0.9	34	341	28	403	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	*    tail spike protein	*    tail fiber protein	RBP18	tailspike depolymerase		0.0002259	102	207.2.1:Pectin lyase-like	LIT_037_KL106	Podovirus
LIT_038_KL22_PROTEIN_51	780	198885	374	0.44	0.98	283	627	2	367	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP8	tailspike depolymerase		5.267e-06	176	207.2.1:Pectin lyase-like	LIT_038_KL22	Podovirus
LIT_039_KL22_PROTEIN_49	780	198885	374	0.44	0.95	283	629	2	355	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP8	tailspike depolymerase		4.151e-06	170	207.2.1:Pectin lyase-like	LIT_039_KL22	Podovirus
LIT_040_KL22_PROTEIN_48	791	198885	374	0.44	1.0	294	643	2	374	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  colanic acid degradation	RBP8	tailspike depolymerase		5.534e-07	211	207.2.1:Pectin lyase-like	LIT_040_KL22	Podovirus
LIT_040_KL22_PROTEIN_57	667	1679987	132	0.18	0.92	545	666	1	121	3240.1.1	3240	3240.1	3240.1.1	3240.1.1.None	NO_X_NAME	NO_H_NAME	Intramolecular chaperone domain in virus tail spike protein	Peptidase_S74	***  tail spike protein	***  tail fiber protein	RBP45	tailspike depolymerase with fiber-like elements		7.224e-11	497	3240.1.1:Intramolecular chaperone domain in virus tail spike protein	LIT_040_KL22	Podovirus
LIT_040_KL22_PROTEIN_57	667	2546335	402	0.51	0.8	33	369	9	328	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail spike protein	***  tail fiber protein	RBP45	tailspike depolymerase with fiber-like elements		1.099e-06	166	207.2.1:Pectin lyase-like	LIT_040_KL22	Podovirus
LIT_041_KL1KL2KL57_PROTEIN_40	791	1310586	330	0.37	0.82	271	561	24	293	5.1.4.41	5	5.1	5.1.4	5.1.4.41	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_2	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	3.789e-05	144	5.1.4:7-bladed	LIT_041_KL1KL2KL57	Podovirus
LIT_041_KL1KL2KL57_PROTEIN_45	832	2429047	443	0.44	0.95	292	653	4	422	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	***  tail fiber protein	***  tail spike protein	RBP46	tailspike depolymerase		0.0005725	130	207.2.1:Pectin lyase-like	LIT_041_KL1KL2KL57	Podovirus
LIT_041_KL1KL2KL57_PROTEIN_46	560	2831959	597	0.68	0.86	176	558	2	517	207.2.1.125	207	207.2	207.2.1	207.2.1.125	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	KOG0555,Beta_helix_like	***  hydrolase	***  tail fiber protein	RBP47	tailspike depolymerase		0.000579	79	207.2.1:Pectin lyase-like	LIT_041_KL1KL2KL57	Podovirus
LIT_042_KL1KL2KL57_PROTEIN_40	791	2879001	313	0.37	0.78	280	575	8	250	5.1.4.312	5	5.1	5.1.4	5.1.4.312	beta-propeller-like	beta-propeller	7-bladed	ANAPC4_WD40_8	***  tail protein	*    unknown function	RBP1	T7 gp12 nozzle-like	TC2	8.076e-05	127	5.1.4:7-bladed	LIT_042_KL1KL2KL57	Podovirus
LIT_042_KL1KL2KL57_PROTEIN_45	903	2491363	452	0.61	0.92	278	826	10	427	207.2.1.111	207	207.2	207.2.1	207.2.1.111	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3,Glyco_hydro_120	***  tail fiber protein	***  tail spike protein	RBP7	tailspike depolymerase		1.347e-05	116	207.2.1:Pectin lyase-like	LIT_042_KL1KL2KL57	Podovirus
LIT_042_KL1KL2KL57_PROTEIN_46	511	1827939	218	0.49	0.96	72	323	8	216	2007.5.1.31	2007	2007.5	2007.5.1	2007.5.1.31	Flavodoxin-like	NO_H_NAME	SGNH hydrolase	Lipase_GDSL_2	***  tail fiber protein	***  tail spike protein	RBP36	GDSL-like lipase containing tailspike		2.12e-08	239	2007.5.1:SGNH hydrolase	LIT_042_KL1KL2KL57	Podovirus
LIT_042_KL1KL2KL57_PROTEIN_46	511	2512673	126	0.21	0.81	405	510	14	115	11.1.1.2699	11	11.1	11.1.1	11.1.1.2699	Immunoglobulin-like beta-sandwich	Immunoglobulin-related	Immunoglobulin/Fibronectin type III/E set domains/PapD-like	UNK_F_TYPE	***  tail fiber protein	***  tail spike protein	RBP36	GDSL-like lipase containing tailspike		0.0003429	139	11.1.1:Immunoglobulin/Fibronectin type III/E set domains/PapD-like	LIT_042_KL1KL2KL57	Podovirus
LIT_043_KL47_PROTEIN_250	461	1839974	282	0.59	0.99	3	273	2	281	1083.1.1.2	1083	1083.1	1083.1.1	1083.1.1.2	NO_X_NAME	NO_H_NAME	Phage T4 gp12 N-terminal repeating units	gp12-short_mid_N	***  tail collar fiber protein	***  tail fiber protein proximal subunit	RBP48	T4 gp12-like		1.2939999999999998e-22	453	1083.1.1:Phage T4 gp12 N-terminal repeating units	LIT_043_KL47	Myovirus
LIT_043_KL47_PROTEIN_250	461	1839976	198	0.35	0.99	301	460	1	196	877.1.1.15	877	877.1	877.1.1	877.1.1.15	NO_X_NAME	NO_H_NAME	gp11/gp12 receptor-binding domain	S_tail_recep_bd	***  tail collar fiber protein	***  tail fiber protein proximal subunit	RBP48	T4 gp12-like		1.717e-08	239	877.1.1:gp11/gp12 receptor-binding domain	LIT_043_KL47	Myovirus
LIT_045_KL3_PROTEIN_88	538	2777478	138	0.23	0.87	397	522	14	133	3240.1.1.4	3240	3240.1	3240.1.1	3240.1.1.4	NO_X_NAME	NO_H_NAME	Intramolecular chaperone domain in virus tail spike protein	Peptidase_S74	***  tail fiber protein	***  long tail fiber protein distal subunit	RBP52	TC15-like tail fiber in siphovirus - variant 1		2.495e-05	206	3240.1.1:Intramolecular chaperone domain in virus tail spike protein	LIT_045_KL3	Siphovirus
LIT_045_KL3_PROTEIN_88	538	1688375	395	0.62	0.91	111	446	37	395	79.1.1.59	79	79.1	79.1.1	79.1.1.59	NO_X_NAME	NO_H_NAME	Phage tail fiber protein trimerization domain	34_2nd,34_1st	***  tail fiber protein	***  long tail fiber protein distal subunit	RBP52	TC15-like tail fiber in siphovirus - variant 1		7.637e-05	94	79.1.1:Phage tail fiber protein trimerization domain	LIT_045_KL3	Siphovirus
LIT_046_KL16_PROTEIN_228	1183	2409667	158	0.09	0.7	13	117	49	158	3856.1.1.1	3856	3856.1	3856.1.1	3856.1.1.1	NO_X_NAME	NO_H_NAME	Putative tailspike protein Orf210 N-terminal domain	EUF07849	-    tail fiber protein	***  tail spike protein	RBP37	tailspike depolymerase with fiber-like elements		2.517e-05	206	3856.1.1:Putative tailspike protein Orf210 N-terminal domain	LIT_046_KL16	Jumbophage
LIT_046_KL16_PROTEIN_228	1183	137980	119	0.12	0.89	1038	1180	4	109	3240.1.1.4	3240	3240.1	3240.1.1	3240.1.1.4	NO_X_NAME	NO_H_NAME	Intramolecular chaperone domain in virus tail spike protein	Peptidase_S74	-    tail fiber protein	***  tail spike protein	RBP37	tailspike depolymerase with fiber-like elements		0.0004857	175	3240.1.1:Intramolecular chaperone domain in virus tail spike protein	LIT_046_KL16	Jumbophage
LIT_046_KL16_PROTEIN_228	1183	2491358	451	0.39	0.96	121	580	3	437	207.2.1.118	207	207.2	207.2.1	207.2.1.118	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	-    tail fiber protein	***  tail spike protein	RBP37	tailspike depolymerase with fiber-like elements		9.136e-05	98	207.2.1:Pectin lyase-like	LIT_046_KL16	Jumbophage
LIT_046_KL16_PROTEIN_230	591	184924	437	0.73	0.89	72	503	47	435	207.2.1.27	207	207.2	207.2.1	207.2.1.27	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Pectate_lyase_3	***  unknown function	-	RBP54	tailspike depolymerase		1.569e-11	456	207.2.1:Pectin lyase-like	LIT_046_KL16	Jumbophage
LIT_046_KL16_PROTEIN_233	581	2701717	393	0.46	0.76	60	327	8	306	207.2.1.83	207	207.2	207.2.1	207.2.1.83	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_120	-	-	RBP55	tailspike depolymerase with fiber-like elements		4.261e-06	175	207.2.1:Pectin lyase-like	LIT_046_KL16	Jumbophage
LIT_046_KL16_PROTEIN_236	820	1491955	131	0.17	0.99	678	820	2	131	10.3.1.1	10	10.3	10.3.1	10.3.1.1	jelly-roll	NO_H_NAME	TNF-like	C1q	***  tail fiber protein	***  tail spike protein	RBP56	tailspike depolymerase with fiber-like elements		4.632e-06	257	10.3.1:TNF-like	LIT_046_KL16	Jumbophage
LIT_046_KL16_PROTEIN_236	820	2546335	402	0.41	0.8	73	407	8	328	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail fiber protein	***  tail spike protein	RBP56	tailspike depolymerase with fiber-like elements		8.6e-07	157	207.2.1:Pectin lyase-like	LIT_046_KL16	Jumbophage
LIT_046_KL16_PROTEIN_239	556	2409669	376	0.56	0.78	88	396	80	371	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail spike protein	***  tail protein	RBP57	tailspike depolymerase		2.128e-07	260	207.2.1:Pectin lyase-like	LIT_046_KL16	Jumbophage
LIT_046_KL16_PROTEIN_239	556	140351	146	0.21	0.85	439	556	23	146	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail spike protein	***  tail protein	RBP57	tailspike depolymerase		0.0003008	136	10.1.2:Galactose-binding domain-like	LIT_046_KL16	Jumbophage
LIT_046_KL16_PROTEIN_243	793	2485645	88	0.1	0.89	46	121	11	88	3856.1.2.1	3856	3856.1	3856.1.2	3856.1.2.1	NO_X_NAME	NO_H_NAME	tailspike protein Orf211 N-terminal domain	UNK_F_TYPE	***  tail spike protein	***  colanic acid degradation	RBP16	tailspike depolymerase		0.0007023	234	3856.1.2:tailspike protein Orf211 N-terminal domain	LIT_046_KL16	Jumbophage
LIT_046_KL16_PROTEIN_243	793	137131	444	0.51	0.92	121	528	20	427	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail spike protein	***  colanic acid degradation	RBP16	tailspike depolymerase		1.641e-06	217	207.2.1:Pectin lyase-like	LIT_046_KL16	Jumbophage
LIT_047_KL2_PROTEIN_1	577	2409669	376	0.68	0.99	18	411	2	372	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  tail spike protein	RBP18	tailspike depolymerase		7.035e-13	512	207.2.1:Pectin lyase-like	LIT_047_KL2	Podovirus
LIT_047_KL2_PROTEIN_1	577	2409668	163	0.27	0.96	419	576	8	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  tail spike protein	RBP18	tailspike depolymerase		1.374e-07	332	10.1.2:Galactose-binding domain-like	LIT_047_KL2	Podovirus
LIT_048_KL2_PROTEIN_54	577	2409669	376	0.68	0.99	18	411	2	372	207.2.1.119	207	207.2	207.2.1	207.2.1.119	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	UNK_F_TYPE	***  tail fiber protein	***  tail spike protein	RBP18	tailspike depolymerase		1.888e-13	541	207.2.1:Pectin lyase-like	LIT_048_KL2	Podovirus
LIT_048_KL2_PROTEIN_54	577	2409668	163	0.27	0.96	419	576	8	163	10.1.2.16	10	10.1	10.1.2	10.1.2.16	jelly-roll	Concanavalin A-like	Galactose-binding domain-like	CBM_4_9	***  tail fiber protein	***  tail spike protein	RBP18	tailspike depolymerase		1.013e-07	332	10.1.2:Galactose-binding domain-like	LIT_048_KL2	Podovirus
LIT_049_KL3_PROTEIN_111	680	1688375	395	0.44	0.92	243	539	32	393	79.1.1.59	79	79.1	79.1.1	79.1.1.59	NO_X_NAME	NO_H_NAME	Phage tail fiber protein trimerization domain	34_2nd,34_1st	***  tail fiber protein	***  tail protein	RBP60	TC14-like tail fiber in sugarlandvirus - variant 1		0.0005449	84	79.1.1:Phage tail fiber protein trimerization domain	LIT_049_KL3	Siphovirus
LIT_054_KL14_PROTEIN_235	461	1839974	282	0.59	1.0	2	273	1	281	1083.1.1.2	1083	1083.1	1083.1.1	1083.1.1.2	NO_X_NAME	NO_H_NAME	Phage T4 gp12 N-terminal repeating units	gp12-short_mid_N	***  tail collar fiber protein	***  tail fiber protein proximal subunit	RBP48	T4 gp12-like		4.503e-23	468	1083.1.1:Phage T4 gp12 N-terminal repeating units	LIT_054_KL14	Myovirus
LIT_054_KL14_PROTEIN_235	461	1839976	198	0.35	0.99	302	461	2	197	877.1.1.15	877	877.1	877.1.1	877.1.1.15	NO_X_NAME	NO_H_NAME	gp11/gp12 receptor-binding domain	S_tail_recep_bd	***  tail collar fiber protein	***  tail fiber protein proximal subunit	RBP48	T4 gp12-like		2.807e-08	237	877.1.1:gp11/gp12 receptor-binding domain	LIT_054_KL14	Myovirus
LIT_055_KL14_PROTEIN_253	461	1839974	282	0.59	0.99	3	273	2	281	1083.1.1.2	1083	1083.1	1083.1.1	1083.1.1.2	NO_X_NAME	NO_H_NAME	Phage T4 gp12 N-terminal repeating units	gp12-short_mid_N	***  tail collar fiber protein	***  tail fiber protein proximal subunit	RBP48	T4 gp12-like		6.347999999999999e-22	443	1083.1.1:Phage T4 gp12 N-terminal repeating units	LIT_055_KL14	Myovirus
LIT_055_KL14_PROTEIN_253	461	1839976	198	0.35	0.99	302	461	2	197	877.1.1.15	877	877.1	877.1.1	877.1.1.15	NO_X_NAME	NO_H_NAME	gp11/gp12 receptor-binding domain	S_tail_recep_bd	***  tail collar fiber protein	***  tail fiber protein proximal subunit	RBP48	T4 gp12-like		3.031e-08	235	877.1.1:gp11/gp12 receptor-binding domain	LIT_055_KL14	Myovirus
LIT_056_KL38_PROTEIN_91	461	1839974	282	0.59	1.0	2	273	1	281	1083.1.1.2	1083	1083.1	1083.1.1	1083.1.1.2	NO_X_NAME	NO_H_NAME	Phage T4 gp12 N-terminal repeating units	gp12-short_mid_N	***  tail collar fiber protein	***  tail fiber protein proximal subunit	RBP48	T4 gp12-like		1.8e-23	476	1083.1.1:Phage T4 gp12 N-terminal repeating units	LIT_056_KL38	Myovirus
LIT_056_KL38_PROTEIN_91	461	1839976	198	0.35	0.99	302	461	2	197	877.1.1.15	877	877.1	877.1.1	877.1.1.15	NO_X_NAME	NO_H_NAME	gp11/gp12 receptor-binding domain	S_tail_recep_bd	***  tail collar fiber protein	***  tail fiber protein proximal subunit	RBP48	T4 gp12-like		3.165e-08	236	877.1.1:gp11/gp12 receptor-binding domain	LIT_056_KL38	Myovirus
LIT_057_KL28_PROTEIN_224	448	1839974	282	0.6	0.98	6	276	5	281	1083.1.1.2	1083	1083.1	1083.1.1	1083.1.1.2	NO_X_NAME	NO_H_NAME	Phage T4 gp12 N-terminal repeating units	gp12-short_mid_N	***  tail collar fiber protein	***  tail fiber protein proximal subunit	RBP65	TC17-like tail fiber		2.376e-20	405	1083.1.1:Phage T4 gp12 N-terminal repeating units	LIT_057_KL28	Myovirus
LIT_058_KL28_PROTEIN_226	448	1839974	282	0.61	1.0	2	276	1	281	1083.1.1.2	1083	1083.1	1083.1.1	1083.1.1.2	NO_X_NAME	NO_H_NAME	Phage T4 gp12 N-terminal repeating units	gp12-short_mid_N	***  tail collar fiber protein	***  tail fiber protein proximal subunit	RBP65	TC17-like tail fiber		2.525e-19	402	1083.1.1:Phage T4 gp12 N-terminal repeating units	LIT_058_KL28	Myovirus
LIT_060_KL24_PROTEIN_8	584	2485645	88	0.12	0.77	15	83	21	88	3856.1.2.1	3856	3856.1	3856.1.2	3856.1.2.1	NO_X_NAME	NO_H_NAME	tailspike protein Orf211 N-terminal domain	UNK_F_TYPE	***  tail fiber protein	***  EPS depolymerase	RBP27	tailspike depolymerase		0.0008161	212	3856.1.2:tailspike protein Orf211 N-terminal domain	LIT_060_KL24	Podovirus
LIT_062_KL71_PROTEIN_55	834	2409667	158	0.13	0.66	160	268	46	149	3856.1.1.1	3856	3856.1	3856.1.1	3856.1.1.1	NO_X_NAME	NO_H_NAME	Putative tailspike protein Orf210 N-terminal domain	EUF07849	***  tail fiber protein	***  tail spike protein	RBP46	tailspike depolymerase		4.904e-05	206	3856.1.1:Putative tailspike protein Orf210 N-terminal domain	LIT_062_KL71	Podovirus
LIT_062_KL71_PROTEIN_55	834	1714446	470	0.56	0.91	271	740	9	437	207.2.1.28	207	207.2	207.2.1	207.2.1.28	Single-stranded right-handed beta-helix	NO_H_NAME	Pectin lyase-like	Glyco_hydro_28	***  tail fiber protein	***  tail spike protein	RBP46	tailspike depolymerase		1.395e-05	148	207.2.1:Pectin lyase-like	LIT_062_KL71	Podovirus
